name,AGATC,TTTTTTCT,AATG,TCTAG,GATA,TATC,GAAA,TCTG
Albus,21,49,55,8,37,64,36,40
Cedric,31,21,41,28,30,9,36,44
Draco,16,13,25,31,35,47,67,53
Fred,47,40,34,11,24,31,60,26
Ginny,39,47,25,27,25,61,44,47
Hagrid,25,38,45,49,39,18,42,30
Harry,50,49,57,37,35,24,48,56
Hermione,52,31,36,27,45,67,48,61
James,46,41,38,29,15,5,48,22
Kingsley,7,11,18,33,39,31,23,14
Lavender,28,33,69,18,46,36,67,60
Lily,46,47,71,19,53,65,71,72
Lucius,9,13,33,26,45,11,36,39
Luna,20,24,57,17,36,35,30,45
Minerva,17,49,18,7,6,18,17,30
Neville,14,44,28,27,19,7,25,20
Petunia,29,29,40,31,45,20,40,35
Remus,6,18,5,42,39,28,44,22
Ron,42,48,38,33,45,25,36,53
Severus,32,27,40,41,25,52,21,47
Sirius,39,11,41,33,58,37,53,31
Vernon,26,45,34,50,44,30,32,28
Zacharias,29,50,18,23,38,24,22,9
